group,variable
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,mecha
tv,mecha
tv,mecha
tv,mecha
tv,mecha
tv,mecha
tv,mecha
tv,mecha
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,martial arts
tv,martial arts
tv,martial arts
tv,martial arts
tv,music  
tv,music  
tv,music  
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,space
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,vampire
tv,vampire
tv,vampire
tv,vampire
tv,vampire
tv,vampire
tv,Dementia
tv,Parody
tv,Parody
tv,Parody
tv,Parody
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Demons
tv,Demons
tv,Demons
tv,Demons
tv,Demons
tv,Demons
tv,Demons
tv,historical
tv,historical
tv,historical
tv,historical
tv,historical
tv,historical
tv,shoujo
tv,shoujo
tv,shoujo
tv,shoujo
tv,shoujo
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,samurai
tv,samurai
tv,sports
tv,sports
tv,sports
